from,to,type,weight
Gavin Newsom,Đại học Santa Clara,alumni_of,1
Pierre Trudeau,Đại học Harvard,alumni_of,1
Pierre Trudeau,Viện Nghiên cứu Chính trị Paris,alumni_of,1
Pierre Trudeau,Trường Kinh tế London,alumni_of,1
Herbert H. Lehman,Williams College,alumni_of,1
Ralph Northam,Viện quân sự Virginia,alumni_of,1
Ralph Northam,Trường Y Đông Virginia,alumni_of,1
Manuel L. Quezon,Đại học San Juan de Letran,alumni_of,1
Manuel L. Quezon,Đại học Santo Tomas,alumni_of,1
Christopher Hitchens,Đại học Oxford,alumni_of,1
Samuel Dexter,Đại học Harvard,alumni_of,1
Albert Gallatin,Đại học Geneva,alumni_of,1
Eric Holcomb,Trường Hannover,alumni_of,1
Bill Lee,Đại học Auburn,alumni_of,1
Theodore Roosevelt Jr.,Đại học Harvard,alumni_of,1
John Singer Sargent,École nationale supérieure des Beaux-Arts,alumni_of,1
John Singer Sargent,Học viện Julian,alumni_of,1
John Singer Sargent,Học viện Mỹ thuật Florence,alumni_of,1
Jim McGreevey,Đại học Công giáo Hoa Kỳ,alumni_of,1
Jim McGreevey,Đại học Columbia,alumni_of,1
Jim McGreevey,Đại học Georgetown,alumni_of,1
Jim McGreevey,Đại học Harvard,alumni_of,1
Phil Murphy,Đại học Harvard,alumni_of,1
Phil Murphy,Đại học Pennsylvania,alumni_of,1
Joseph McCarthy,Đại học Marquette,alumni_of,1
Francisco Franco,Học viện bộ binh Toledo,alumni_of,1
Jean de Lattre de Tassigny,Trường Võ bị Liên quân Saint-Cyr,alumni_of,1
Allen Dulles,Đại học Princeton,alumni_of,1
Allen Dulles,Đại học George Washington,alumni_of,1
Ngô Đình Diệm,Trường Trung học phổ thông chuyên Quốc Học,alumni_of,1
Ngô Đình Diệm,Trường Hậu bổ (Hà Nội),alumni_of,1
Ngô Đình Diệm,Đại học Michigan,alumni_of,1
Prescott Bush,Đại học Yale,alumni_of,1
Kurt Waldheim,Học viện Ngoại giao Viên,alumni_of,1
Olof Palme,Đại học Stockholm,alumni_of,1
Edwin Stanton,Kenyon College,alumni_of,1
Thaddeus Stevens,Đại học Dartmouth,alumni_of,1
Thaddeus Stevens,Đại học Vermont,alumni_of,1
Benjamin Butler,Colby College,alumni_of,1
Henry Cabot Lodge Jr.,Đại học Harvard,alumni_of,1
Robert F. Kennedy,Đại học Harvard,alumni_of,1
Robert F. Kennedy,Đại học Virginia,alumni_of,1
Jean Kennedy Smith,Manhattanville College,alumni_of,1
Robert McNamara,"University of California, Berkeley",alumni_of,1
Phêrô Máctinô Ngô Đình Thục,Trường Pellerin (1904–1908) Tiểu chủng viện Sài Gòn (1909–1917) Đại Chủng viện Phú Xuân (1917–1919) Đại học Truyền giáo Urbaniana,alumni_of,1
Phêrô Máctinô Ngô Đình Thục,Rôma (1919–1925) Đại học Appolinaire (1925–1927),alumni_of,1
Trần Lệ Xuân,Trường Trung học Albert Sarraut,alumni_of,1
Vũ Văn Mẫu,"Trường Trung học phổ thông Chu Văn An, Hà Nội",alumni_of,1
Vũ Văn Mẫu,Trường Trung học Albert Sarraut,alumni_of,1
Ngô Đình Nhu,PSL Research University,alumni_of,1
Lê Văn Kim,Pháp -Trường Đại học tại Paris,alumni_of,1
Dương Văn Minh,Trường Trung học phổ thông Nguyễn Đình Chiểu (Tiền Giang),alumni_of,1
Nguyễn Hữu Có,Trường Trung học phổ thông chuyên Quốc Học – Huế,alumni_of,1
Nguyễn Khánh,Trường Trung học chương trình Pháp tại Cần Thơ Trường Võ bị Liên quân Viễn Đông Đà Lạt Học viện Quân sự Coetquidan và Võ bị Saint Cyr,alumni_of,1
David Halberstam,Đại học Harvard,alumni_of,1
Trần Văn Đôn,Sơn Tây -Trường Cao đẳng Quốc phòng (École Supérieure de Geurre) tại Paris,alumni_of,1
Tôn Thất Đính,-Trường Trung học Phổ thông ở Huế -Trường Võ bị Quốc gia tại Huế -Trường Kỵ binh Saumur (École de cavalerie de Saumur),alumni_of,1
Nguyễn Văn Thiệu,Trường Võ bị Quốc gia Đà Lạt,alumni_of,1
Chu Ân Lai,Đại học Nam Khai,alumni_of,1
Klemens von Metternich,Đại học Strasbourg,alumni_of,1
Mao Trạch Đông,Học viện Sư phạm Đệ nhất Hồ Nam,alumni_of,1
Laura Chinchilla,Đại học Georgetown,alumni_of,1
Zbigniew Brzezinski,Đại học McGill,alumni_of,1
Zbigniew Brzezinski,Đại học Harvard,alumni_of,1
James R. Schlesinger,Đại học Harvard,alumni_of,1
Brian Kemp,Đại học Georgia,alumni_of,1
Adly Mansour,Đại học Cairo,alumni_of,1
Adly Mansour,École nationale d'administration,alumni_of,1
Ikeda Hayato,Đại học Kyoto,alumni_of,1
Miki Takeo,Đại học Nam California,alumni_of,1
Kishi Nobusuke,Đại học Tokyo,alumni_of,1
Yoshida Shigeru,Đại học Tokyo,alumni_of,1
Abe Shinzō,Đại học Seikei,alumni_of,1
Abe Shinzō,Đại học Nam California,alumni_of,1
Katayama Tetsu,Đại học Tokyo,alumni_of,1
Fukuda Takeo,Đại học Tokyo,alumni_of,1
Ferdinand Marcos,Đại học Philippines,alumni_of,1
Kōno Yōhei,Đại học Waseda,alumni_of,1
Takeshita Noboru,Đại học Waseda,alumni_of,1
Itō Hirobumi,Đại học London,alumni_of,1
Saionji Kinmochi,Đại học Paris,alumni_of,1
Hara Takashi,Đại học Tokyo,alumni_of,1
Katō Takaaki,Đại học Tokyo,alumni_of,1
Katō Tomosaburō,Học viện Hải quân Đế quốc Nhật Bản,alumni_of,1
Wakatsuki Reijirō,Đại học Tokyo,alumni_of,1
Tanaka Giichi,Học viện Lục quân Đế quốc Nhật Bản,alumni_of,1
Tanaka Giichi,Đại học Chiến tranh Lục quân (Nhật Bản),alumni_of,1
Inukai Tsuyoshi,Đại học Keio,alumni_of,1
Saitō Makoto,Học viện Hải quân Đế quốc Nhật Bản,alumni_of,1
Gotō Fumio,Đại học Tokyo,alumni_of,1
Hiranuma Kiichirō,Đại học Tokyo,alumni_of,1
Abe Nobuyuki,Học viện Lục quân Đế quốc Nhật Bản,alumni_of,1
Abe Nobuyuki,Đại học Chiến tranh Lục quân (Nhật Bản),alumni_of,1
Itō Masayoshi,Đại học Tokyo,alumni_of,1
Mori Yoshirō,Đại học Waseda,alumni_of,1
Kan Naoto,Học viện Công nghệ Tokyo,alumni_of,1
Fukuda Yasuo,Đại học Waseda,alumni_of,1
Asō Tarō,Đại học Stanford,alumni_of,1
Asō Tarō,Trường Kinh tế và Khoa học Chính trị London,alumni_of,1
Hatoyama Yukio,Đại học Tokyo,alumni_of,1
Hatoyama Yukio,Đại học Stanford,alumni_of,1
Hatoyama Yukio,Đại học Hồng Kông,alumni_of,1
Noda Yoshihiko,Đại học Waseda,alumni_of,1
Suga Yoshihide,Đại học Hosei,alumni_of,1
Kishida Fumio,Đại học Waseda,alumni_of,1
Paavo Lipponen,Đại học Dartmouth,alumni_of,1
Paavo Lipponen,Đại học Helsinki,alumni_of,1
Tarja Halonen,Đại học Helsinki,alumni_of,1
Takaichi Sanae,Đại học Kobe,alumni_of,1
Joseph Boakai,Đại học Tiểu bang Kansas,alumni_of,1
Sheikh Hasina,Đại học Eden Mohila,alumni_of,1
Sheikh Hasina,Đại học Dhaka,alumni_of,1
Mulatu Teshome,Đại học Peking,alumni_of,1
Hailemariam Desalegn,Đại học Addis Ababa,alumni_of,1
Hailemariam Desalegn,Đại học Arba Minch,alumni_of,1
Hailemariam Desalegn,Đại học Công nghệ Tampere,alumni_of,1
Hailemariam Desalegn,Đại học Thái Bình Dương Azusa,alumni_of,1
Andrew Giuliani,Duke University,alumni_of,1
Michael Bloomberg,Đại học Johns Hopkins,alumni_of,1
Michael Bloomberg,Đại học,alumni_of,1
Michael Bloomberg,Đại học Harvard,alumni_of,1
Iván Duque Márquez,Đại học Georgetown,alumni_of,1
Rajiv Gandhi,Đại học Cambridge,alumni_of,1
Slobodan Milošević,Đại học Beograd,alumni_of,1
Ne Win,Đại học Rangoon,alumni_of,1
Václav Havel,Đại học Công nghệ Séc ở Praha,alumni_of,1
Sali Berisha,Đại học Tirana,alumni_of,1
Meles Zenawi,Open University,alumni_of,1
Meles Zenawi,Erasmus University Rotterdam,alumni_of,1
Rodrigo Duterte,Trường Đại học Philippines,alumni_of,1
Rodrigo Duterte,Trường luật San Beda,alumni_of,1
Robert A. Heinlein,Học viện Hải quân Hoa Kỳ,alumni_of,1
Arthur C. Clarke,Đại học Nhà vua Luân Đôn,alumni_of,1
Htin Kyaw,Đại học London,alumni_of,1
Win Myint,Đại học Yangon,alumni_of,1
Min Aung Hlaing,Đại học Yangon,alumni_of,1
Aung San,Đại học Yangon,alumni_of,1
Jim Webb,University of Southern California,alumni_of,1
Jim Webb,Georgetown University,alumni_of,1
Yingluck Shinawatra,Đại học Chiang Mai,alumni_of,1
Yingluck Shinawatra,Đại học Bang Kentucky,alumni_of,1
Rick Scott,University of Missouri–Kansas City,alumni_of,1
Rick Scott,Southern Methodist University,alumni_of,1
Marco Rubio,Cao đẳng Tarkio Cao đẳng Santa Fe Đại học Florida Đại học Miami,alumni_of,1
Janet Mills,Đại học Massachusetts Boston,alumni_of,1
Janet Mills,Đại học Maine,alumni_of,1
Ned Lamont,Đại học Harvard,alumni_of,1
Ned Lamont,Đại học Yale,alumni_of,1
Daniel McKee,Đại học Harvard,alumni_of,1
Chris Sununu,Viện Công nghệ Massachusetts,alumni_of,1
Phil Scott,Đại học Vermont,alumni_of,1
Tom Wolf,Đại học Dartmouth,alumni_of,1
Tom Wolf,Đại học London,alumni_of,1
Tom Wolf,Viện Công nghệ Massachusetts,alumni_of,1
J. B. Pritzker,Đại học Duke,alumni_of,1
Laura Kelly,Đại học Bradley,alumni_of,1
Laura Kelly,Đại học Indiana,alumni_of,1
Kim Reynolds,Đại học Tây Bắc Iowa,alumni_of,1
Kim Reynolds,Đại học Bang Iowa,alumni_of,1
Gretchen Whitmer,Đại học bang Michigan,alumni_of,1
Doug Burgum,Đại học Stanford,alumni_of,1
Pete Ricketts,Đại học Chicago,alumni_of,1
Mike DeWine,Đại học Miami,alumni_of,1
Kay Ivey,Đại học Auburn (BA),alumni_of,1
Tony Evers,Đại học Wisconsin-Madison,alumni_of,1
John Carney,Đại học Dartmouth,alumni_of,1
John Carney,Đại học Delaware,alumni_of,1
Andy Beshear,Đại học Virginia,alumni_of,1
John Bel Edwards,Học viện Quân sự Hoa Kỳ,alumni_of,1
Tate Reeves,Trường Millsaps (BA),alumni_of,1
Larry Hogan,Đại học Bang Florida,alumni_of,1
Kevin Stitt,Đại học Bang Oklahoma,alumni_of,1
Roy Cooper,Đại học North Carolina tại Chapel Hill,alumni_of,1
Jim Justice,Đại học Marshall,alumni_of,1
Henry McMaster,Đại học South Carolina,alumni_of,1
Jared Polis,Đại học Princeton,alumni_of,1
Mike Dunleavy,Đại học Misericordia,alumni_of,1
Mike Dunleavy,Đại học Alaska Fairbanks,alumni_of,1
Doug Ducey,Đại học Bang Arizona,alumni_of,1
David Ige,"Đại học Hawaii, Manoa",alumni_of,1
Brad Little,Đại học Idaho,alumni_of,1
Michelle Lujan Grisham,Đại học New Mexico,alumni_of,1
Steve Sisolak,Đại học Wisconsin – Milwaukee,alumni_of,1
Steve Sisolak,"Đại học Nevada, Las Vegas",alumni_of,1
Greg Gianforte,Viện Công nghệ Stevens,alumni_of,1
Kate Brown,Đại học Colorado Boulder,alumni_of,1
Spencer Cox,Snow College,alumni_of,1
Spencer Cox,Đại học Bang Utah,alumni_of,1
Spencer Cox,Đại học Washington and Lee,alumni_of,1
Jay Inslee,Đại học Washington,alumni_of,1
Mark Gordon (chính trị gia),Đại học Middlebury,alumni_of,1
Peter Navarro,Đại học Harvard,alumni_of,1
Deborah Birx,Trường Đại học Houghton,alumni_of,1
Anthony Fauci,Đại học Cornell,alumni_of,1
Robert R. Redfield,Đại học Georgetown,alumni_of,1
Jerome Adams,"Đại học California, Berkeley",alumni_of,1
Brett Giroir,Đại học Harvard,alumni_of,1
Theodor Heuss,Đại học Ludwig Maximilian Munich,alumni_of,1
Michel Debré,Đại học Paris,alumni_of,1
Alain Poher,École nationale supérieure des mines de Paris,alumni_of,1
Henri Bergson,École normale supérieure,alumni_of,1
Henri Bergson,Đại học Paris,alumni_of,1
Viktor Fedorovych Yanukovych,Đại học Kỹ thuật Quốc gia Donetsk,alumni_of,1
Park Geun-hye,Đại học Sogang,alumni_of,1
Lyudmila Aleksandrovna Putina,Đại học Tổng hợp Sankt-Peterburg,alumni_of,1
Doug Emhoff,Đại học Nam California,alumni_of,1
Mark Leno,Đại học Colorado Boulder,alumni_of,1
Mark Leno,Jerusalem University College,alumni_of,1
Mark Leno,Hebrew Union College,alumni_of,1
Steven Mnuchin,Đại học Yale,alumni_of,1
Jon Ossoff,Đại học Georgetown,alumni_of,1
Jon Ossoff,Trường Kinh tế Luân Đôn,alumni_of,1
Elizabeth Warren,Đại học George Washington,alumni_of,1
Paul Samuelson,Đại học Harvard,alumni_of,1
Paul Samuelson,Đại học Chicago,alumni_of,1
Kenneth Arrow,Đại học Columbia,alumni_of,1
Lawrence Klein,Viện Công nghệ Massachusetts,alumni_of,1
Lawrence Klein,"Đại học California, Berkeley",alumni_of,1
James Tobin,Đại học Harvard,alumni_of,1
Michael Spence,Đại học Harvard,alumni_of,1
Michael Spence,Đại học Oxford,alumni_of,1
Michael Spence,Đại học Princeton,alumni_of,1
David Card,Đại học Princeton,alumni_of,1
James Heckman,Đại học Princeton,alumni_of,1
Gary Becker,Đại học Princeton,alumni_of,1
Gary Becker,Đại học Chicago,alumni_of,1
Joseph Stiglitz,Viện Công nghệ Massachusetts,alumni_of,1
Daron Acemoğlu,Trường Kinh tế và Khoa học Chính trị Luân Đôn,alumni_of,1
Esther Duflo,École normale supérieure,alumni_of,1
Esther Duflo,Viện Công nghệ Massachusetts,alumni_of,1
Robert Menzies,Đại học Melbourne,alumni_of,1
Theodor Mommsen,Đại học Kiel,alumni_of,1
José Echegaray,Trường Cao đẳng Kỹ sư Xây dựng,alumni_of,1
Thomas Mann,Đại học Ludwig Maximilian München,alumni_of,1
Thomas Mann,Đại học Kỹ thuật München,alumni_of,1
Luigi Pirandello,Đại học Bonn,alumni_of,1
Roger Martin du Gard,École du Louvre,alumni_of,1
Ivo Andrić,Đại học Graz,alumni_of,1
Ivo Andrić,Đại học Viên,alumni_of,1
Miguel Ángel Asturias,Đại học Paris,alumni_of,1
Heinrich Böll,Đại học Cologne,alumni_of,1
Elias Canetti,Đại học Viên,alumni_of,1
Odysseas Elytis,University of Athens,alumni_of,1
William Golding,Đại học Oxford,alumni_of,1
Gabriel García Márquez,Đại học Cartagena,alumni_of,1
Camilo José Cela,Trung tâm Đại học Villanueva,alumni_of,1
Cao Hành Kiện,Đại học Ngoại ngữ Bắc Kinh,alumni_of,1
Cao Hành Kiện,Trường Trung học Kim Lăng,alumni_of,1
Bạc Nhất Ba,Trường Đảng Trung ương (Đảng Cộng sản Trung Quốc),alumni_of,1
Diệp Kiếm Anh,Trường quân sự Hoàng Phố,alumni_of,1
Dương Đắc Chí,Đại học Quân sự và Chính trị chống Nhật,alumni_of,1
Dương Đắc Chí,Học viện Quân sự Quân Giải phóng Nhân dân Trung Hoa,alumni_of,1
Tưởng Kinh Quốc,Đại học Tôn Dật Tiên Moskva,alumni_of,1
Tôn Trung Sơn,Trường đại học Tây Y Hồng Kông cho người Hoa,alumni_of,1
Trần Độc Tú,Đại học Waseda,alumni_of,1
Lý Cường,Đại học Chiết Giang,alumni_of,1
Lý Cường,Đại học Bách khoa Hồng Kông,alumni_of,1
Lý Cường,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Triệu Lạc Tế,Đại học Bắc Kinh,alumni_of,1
Triệu Lạc Tế,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Vương Hỗ Ninh,Đại học Phục Đán,alumni_of,1
Thái Kỳ,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Đinh Tiết Tường,Đại học Phục Đán,alumni_of,1
Lý Hi,Đại học Thanh Hoa,alumni_of,1
Trần Văn Thanh (chính khách Trung Quốc),Đại học Tứ Xuyên,alumni_of,1
Hà Lập Phong,Đại học Hạ Môn,alumni_of,1
Lý Cán Kiệt,Đại học Thanh Hoa,alumni_of,1
Lý Thư Lỗi,Đại học Bắc Kinh,alumni_of,1
Lý Thư Lỗi,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Thạch Thái Phong,Đại học Bắc Kinh,alumni_of,1
Hà Vệ Đông,Đại học Quốc phòng Trung Quốc,alumni_of,1
Hà Vệ Đông,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Trương Quốc Thanh,Đại học Thanh Hoa,alumni_of,1
Trương Quốc Thanh,Đại học Harvard,alumni_of,1
Trương Quốc Thanh,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Vương Tiểu Hồng,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Lưu Quốc Trung,Đại học Công nghiệp Cáp Nhĩ Tân,alumni_of,1
Thầm Di Cầm,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,alumni_of,1
Ngô Chính Long,Đại học Trung Bắc,alumni_of,1
Asha-Rose Migiro,University of Dar es Salaam,alumni_of,1
Asha-Rose Migiro,University of Konstanz,alumni_of,1
Jan Eliasson,Đại học Gothenburg,alumni_of,1
Lee Hae-chan,Đại học Quốc gia Seoul,alumni_of,1
Richard von Weizsäcker,Đại học Göttingen,alumni_of,1
Roman Herzog,Đại học Ludwig Maximilian Munich,alumni_of,1
Friedrich Merz,Đại học Bonn,alumni_of,1
Friedrich Merz,Đại học Marburg,alumni_of,1
Mateusz Morawiecki,Đại học Wrocław,alumni_of,1
Mateusz Morawiecki,Đại học Hamburg,alumni_of,1
Mateusz Morawiecki,Đại học Basel,alumni_of,1
Thomas Piketty,École normale supérieure,alumni_of,1
Alain Juppé,École nationale d'administration,alumni_of,1
Dominique de Villepin,École nationale d'administration,alumni_of,1
Laurent Fabius,Trường Hành chính quốc gia (Pháp),alumni_of,1
Michel Rocard,École nationale d'administration,alumni_of,1
Faure Gnassingbé,Đại học George Washington,alumni_of,1
Jean Chrétien,Đại học Laval,alumni_of,1
Charles-Maurice de Talleyrand-Périgord,Đại học Paris,alumni_of,1
François Arago,École Polytechnique,alumni_of,1
Georges Clemenceau,Đại học Nantes,alumni_of,1
François Fillon,Đại học Maine (Pháp),alumni_of,1
François Fillon,Đại học Paris Descartesy,alumni_of,1
Jean-Marc Ayrault,Đại học Nantes,alumni_of,1
Bernard Cazeneuve,Viện Nghiên cứu Chính trị Bordeaux,alumni_of,1
Zail Singh,Đại học Truyền giáo Sikh Shaheed,alumni_of,1
Janez Drnovšek,Đại học Ljubljana,alumni_of,1
Pierre Mendès France,Đại học Paris,alumni_of,1
Emmerson Mnangagwa,Đại học Luân Đôn,alumni_of,1
Emmerson Mnangagwa,Đại học Zambia,alumni_of,1
Christine Lagarde,Paris West University Nanterre La Défense,alumni_of,1
Elżbieta Bieńkowska,Đại học Jagiellonian,alumni_of,1
Elżbieta Bieńkowska,Trường kinh tế SGH Warsaw,alumni_of,1
José Manuel Barroso,Đại học Geneva,alumni_of,1
Jean-Claude Juncker,Đại học Strasbourg,alumni_of,1
Romano Prodi,Università Cattolica del Sacro Cuore,alumni_of,1
Romano Prodi,Trường Kinh tế London,alumni_of,1
Richard Ferrand,Đại học Toulouse,alumni_of,1
Richard Ferrand,Đại học Paris Descartes,alumni_of,1
Stéphane Séjourné,Đại học Poitiers,alumni_of,1
Dominique Strauss-Kahn,Đại học Paris Nanterre,alumni_of,1
Heinrich Himmler,Technische Universität München,alumni_of,1
Ernst Kaltenbrunner,Đại học Graz,alumni_of,1
Helen Keller,Radcliffe College,alumni_of,1
Antony Beevor,Winchester College,alumni_of,1
Antony Beevor,Royal Military Academy Sandhurst,alumni_of,1
Wilhelm Frick,Đại học München,alumni_of,1
Wilhelm Frick,Đại học Göttingen,alumni_of,1
Wilhelm Frick,Đại học Berlin,alumni_of,1
Wilhelm Frick,Đại học Heidelberg,alumni_of,1
Albert Speer,Đại học Kỹ thuật Berlin,alumni_of,1
